Contingency	Load	Demanded_MWh	Served_MWh	Shed_MWh
34	9	125	34	91
35	5	90	24	66
35	7	100	39	61
35	9	125	27	98
36	5	90	0	90
36	7	100	0	100
36	9	125	0	125
37	5	90	0	90
37	7	100	0	100
37	9	125	0	125
38	5	90	35	55
38	7	100	51	49
38	9	125	22	103
39	5	90	9	81
39	7	100	87	13
39	9	125	14.000000000000002	111
40	5	90	27	63
40	7	100	27	73
40	9	125	0	125
41	5	90	0	90
41	7	100	0	100
41	9	125	0	125
42	5	90	22	68
42	7	100	31	69
42	9	125	20	105
43	5	90	15	75
43	7	100	35	65
43	9	125	10	115
44	5	90	0	90
44	7	100	0	100
44	9	125	0	125
45	5	90	0	90
45	7	100	0	100
45	9	125	79	46
46	5	90	0	90
46	7	100	0	100
46	9	125	0	125
47	5	90	19	71
47	7	100	17	83
47	9	125	64	61
48	5	90	0	90
48	7	100	0	100
48	9	125	0	125
49	5	90	0	90
49	7	100	0	100
49	9	125	0	125
50	5	90	9	81
50	7	100	36	64
50	9	125	63	62
51	5	90	0	90
51	7	100	0	100
51	9	125	0	125
52	5	90	0	90
52	7	100	72	28
52	9	125	0	125
53	5	90	0	90
53	7	100	0	100
53	9	125	0	125
54	5	90	17	73
54	7	100	13	87
54	9	125	17	108
55	5	90	25	65
55	7	100	31	69
55	9	125	31	94
56	5	90	22	68
56	7	100	72	28
56	9	125	16	109
57	5	90	0	90
57	7	100	0	100
57	9	125	0	125
58	5	90	22	68
58	7	100	26	74
58	9	125	60	65
59	5	90	0	90
59	7	100	0	100
59	9	125	46	79
60	5	90	35	55
60	7	100	0	100
60	9	125	54	71
61	5	90	64	26
61	7	100	0	100
61	9	125	0	125
62	5	90	36	54
62	7	100	0	100
62	9	125	33	92
63	5	90	0	90
63	7	100	16	84
63	9	125	20	105
64	5	90	22	68
64	7	100	33	67
64	9	125	23	102
65	5	90	0	90
65	7	100	0	100
65	9	125	0	125
66	5	90	0	90
66	7	100	0	100
66	9	125	0	125
67	5	90	0	90
67	7	100	0	100
67	9	125	0	125
68	5	90	0	90
68	7	100	0	100
68	9	125	0	125
69	5	90	0	90
69	7	100	0	100
69	9	125	0	125
70	5	90	0	90
70	7	100	0	100
70	9	125	0	125
71	5	90	32	58
71	7	100	30	70
71	9	125	28.000000000000004	97
72	5	90	22	68
72	7	100	19	81
72	9	125	31	94
73	5	90	11	79
73	7	100	13	87
73	9	125	24	101
74	5	90	0	90
74	7	100	0	100
74	9	125	0	125
75	5	90	28.000000000000004	62
75	7	100	30	70
75	9	125	32	93
76	5	90	0	90
76	7	100	0	100
76	9	125	0	125
77	5	90	45	45
77	7	100	51	49
77	9	125	13	112
78	5	90	0	90
78	7	100	0	100
78	9	125	0	125
79	5	90	32	58
79	7	100	22	78
79	9	125	25	100
80	5	90	0	90
80	7	100	0	100
80	9	125	0	125
81	5	90	44	46
81	7	100	39	61
81	9	125	27	98
82	5	90	0	90
82	7	100	0	100
82	9	125	0	125
83	5	90	14.000000000000002	76
83	7	100	25	75
83	9	125	14.000000000000002	111
84	5	90	0	90
84	7	100	0	100
84	9	125	46	79
85	5	90	24	66
85	7	100	24	76
85	9	125	40	85
86	5	90	0	90
86	7	100	0	100
86	9	125	0	125
87	5	90	0	90
87	7	100	0	100
87	9	125	0	125
88	5	90	0	90
88	7	100	0	100
88	9	125	0	125
89	5	90	0	90
89	7	100	0	100
89	9	125	0	125
90	5	90	0	90
90	7	100	0	100
90	9	125	0	125
91	5	90	0	90
91	7	100	0	100
91	9	125	0	125
92	5	90	0	90
92	7	100	0	100
92	9	125	0	125
93	5	90	0	90
93	7	100	0	100
93	9	125	0	125
94	5	90	8	82
94	7	100	39	61
94	9	125	27	98
95	5	90	4	86
95	7	100	16	84
95	9	125	2	123
96	5	90	39	51
96	7	100	42	58
96	9	125	0	125
97	5	90	28.000000000000004	62
97	7	100	0	100
97	9	125	31	94
98	5	90	0	90
98	7	100	0	100
98	9	125	0	125
99	5	90	15	75
99	7	100	19	81
99	9	125	14.000000000000002	111
100	5	90	36	54
100	7	100	28.999999999999996	71
100	9	125	47	78
101	5	90	36	54
101	7	100	28.999999999999996	71
101	9	125	47	78
102	5	90	24	66
102	7	100	36	64
102	9	125	26	99
103	5	90	31	59
103	7	100	23	77
103	9	125	0	125
104	5	90	0	90
104	7	100	0	100
104	9	125	0	125
105	5	90	0	90
105	7	100	0	100
105	9	125	0	125
106	5	90	0	90
106	7	100	0	100
106	9	125	0	125
107	5	90	17	73
107	7	100	0	100
107	9	125	20	105
108	5	90	0	90
108	7	100	0	100
108	9	125	0	125
109	5	90	0	90
109	7	100	0	100
109	9	125	0	125
110	5	90	12	78
110	7	100	24	76
110	9	125	72	53
111	5	90	0	90
111	7	100	0	100
111	9	125	0	125
112	5	90	0	90
112	7	100	0	100
112	9	125	0	125
113	5	90	50	40
113	7	100	37	63
113	9	125	0	125
114	5	90	16	74
114	7	100	21	79
114	9	125	48	77
115	5	90	21	69
115	7	100	21	79
115	9	125	25	100
116	5	90	0	90
116	7	100	0	100
116	9	125	0	125
117	5	90	22	68
117	7	100	76	24
117	9	125	11	114
118	5	90	0	90
118	7	100	0	100
118	9	125	0	125
119	5	90	22	68
119	7	100	19	81
119	9	125	21	104
120	5	90	0	90
120	7	100	0	100
120	9	125	0	125
121	5	90	16	74
121	7	100	21	79
121	9	125	48	77
122	5	90	0	90
122	7	100	0	100
122	9	125	0	125
123	5	90	33	57
123	7	100	13	87
123	9	125	37	88
124	5	90	28.000000000000004	62
124	7	100	38	62
124	9	125	35	90
125	5	90	0	90
125	7	100	0	100
125	9	125	0	125
126	5	90	0	90
126	7	100	0	100
126	9	125	0	125
127	5	90	0	90
127	7	100	0	100
127	9	125	0	125
128	5	90	33	57
128	7	100	25	75
128	9	125	40	85
129	5	90	0	90
129	7	100	0	100
129	9	125	0	125
130	5	90	0	90
130	7	100	0	100
130	9	125	0	125
131	5	90	0	90
131	7	100	0	100
131	9	125	0	125
132	5	90	32	58
132	7	100	26	74
132	9	125	49	76
133	5	90	0	90
133	7	100	0	100
133	9	125	0	125
134	5	90	0	90
134	7	100	0	100
134	9	125	0	125
135	5	90	27	63
135	7	100	32	68
135	9	125	24	101
136	5	90	27	63
136	7	100	32	68
136	9	125	24	101
137	5	90	0	90
137	7	100	0	100
137	9	125	0	125
138	5	90	0	90
138	7	100	0	100
138	9	125	0	125
139	5	90	0	90
139	7	100	0	100
139	9	125	0	125
140	5	90	22	68
140	7	100	24	76
140	9	125	51	74
141	5	90	16	74
141	7	100	21	79
141	9	125	48	77
142	5	90	25	65
142	7	100	24	76
142	9	125	28.000000000000004	97
143	5	90	26	64
143	7	100	39	61
143	9	125	38	87
144	5	90	0	90
144	7	100	49	51
144	9	125	0	125
145	5	90	0	90
145	7	100	16	84
145	9	125	20	105
146	5	90	0	90
146	7	100	0	100
146	9	125	0	125
147	5	90	0	90
147	7	100	0	100
147	9	125	0	125
148	5	90	27	63
148	7	100	32	68
148	9	125	24	101
149	5	90	45	45
149	7	100	51	49
149	9	125	13	112
150	5	90	11	79
150	7	100	13	87
150	9	125	24	101
151	5	90	17	73
151	7	100	25	75
151	9	125	22	103
152	5	90	0	90
152	7	100	0	100
152	9	125	0	125
153	5	90	44	46
153	7	100	39	61
153	9	125	27	98
154	5	90	20	70
154	7	100	19	81
154	9	125	49	76
155	5	90	0	90
155	7	100	0	100
155	9	125	0	125
156	5	90	0	90
156	7	100	0	100
156	9	125	0	125
157	5	90	0	90
157	7	100	0	100
157	9	125	79	46
158	5	90	14.000000000000002	76
158	7	100	74	26
158	9	125	22	103
159	5	90	0	90
159	7	100	0	100
159	9	125	0	125
160	5	90	0	90
160	7	100	0	100
160	9	125	0	125
161	5	90	24	66
161	7	100	36	64
161	9	125	26	99
162	5	90	22	68
162	7	100	36	64
162	9	125	15	110
163	5	90	4	86
163	7	100	26	74
163	9	125	21	104
164	5	90	38	52
164	7	100	8	92
164	9	125	8	117
165	5	90	45	45
165	7	100	51	49
165	9	125	13	112
166	5	90	36	54
166	7	100	24	76
166	9	125	24	101
167	5	90	36	54
167	7	100	27	73
167	9	125	30	95
168	5	90	34	56
168	7	100	27	73
168	9	125	38	87
169	5	90	9	81
169	7	100	0	100
169	9	125	14.000000000000002	111
170	5	90	0	90
170	7	100	0	100
170	9	125	0	125
171	5	90	0	90
171	7	100	0	100
171	9	125	0	125
172	5	90	39	51
172	7	100	0	100
172	9	125	0	125
173	5	90	0	90
173	7	100	0	100
173	9	125	0	125
174	5	90	24	66
174	7	100	24	76
174	9	125	40	85
175	5	90	45	45
175	7	100	51	49
175	9	125	13	112
176	5	90	0	90
176	7	100	16	84
176	9	125	20	105
177	5	90	35	55
177	7	100	0	100
177	9	125	54	71
178	5	90	0	90
178	7	100	0	100
178	9	125	0	125
179	5	90	22	68
179	7	100	76	24
179	9	125	11	114
180	5	90	0	90
180	7	100	42	58
180	9	125	0	125
181	5	90	0	90
181	7	100	0	100
181	9	125	0	125
182	5	90	44	46
182	7	100	39	61
182	9	125	27	98
183	5	90	15	75
183	7	100	35	65
183	9	125	10	115
184	5	90	33	57
184	7	100	27	73
184	9	125	32	93
185	5	90	22	68
185	7	100	19	81
185	9	125	21	104
186	5	90	0	90
186	7	100	0	100
186	9	125	0	125
187	5	90	22	68
187	7	100	19	81
187	9	125	31	94
188	5	90	25	65
188	7	100	31	69
188	9	125	31	94
189	5	90	32	58
189	7	100	36	64
189	9	125	0	125
190	5	90	0	90
190	7	100	0	100
190	9	125	47	78
191	5	90	13	77
191	7	100	62	38
191	9	125	34	91
192	5	90	8	82
192	7	100	20	80
192	9	125	32	93
193	5	90	19	71
193	7	100	22	78
193	9	125	21	104
194	5	90	8	82
194	7	100	20	80
194	9	125	32	93
195	5	90	17	73
195	7	100	25	75
195	9	125	22	103
196	5	90	0	90
196	7	100	0	100
196	9	125	38	87
197	5	90	22	68
197	7	100	19	81
197	9	125	21	104
198	5	90	0	90
198	7	100	0	100
198	9	125	0	125
199	5	90	33	57
199	7	100	13	87
199	9	125	37	88
200	5	90	12	78
200	7	100	23	77
200	9	125	14.000000000000002	111
